family_id,domain,valence,nonmoral_subdomain,agent,goal,common_action,uncommon_action,affected_entity,low_evocative_outcome,high_evocative_outcome,outcome_verb,generator_model,ingest_date,human_approved
PRIV-NMB-01,Data Privacy,NMB,procedural,The IT director,migrate customer data to a lower-cost storage system to reduce operating costs,adopted a storage system widely used by comparable companies in the industry,"implemented a custom storage system designed specifically for this company, an approach rarely used by comparable companies",customer-support staff using the internal ticketing system,a subsequent internal review found the new ticket-organization layout diverged from the company's documented internal layout convention,several staff noticed the ticket-history panels now appeared in a different order than the one shown in the internal reference guide,change how support tickets are organized in the internal ticketing system,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
PRIV-NMG-01,Data Privacy,NMG,procedural,The IT director,migrate customer data to a lower-cost storage system to reduce operating costs,adopted a storage system widely used by comparable companies in the industry,"implemented a custom storage system designed specifically for this company, an approach rarely used by comparable companies",customer-support staff using the internal ticketing system,a subsequent internal review found the new ticket-organization layout matched the company's documented internal layout convention more closely than before,several staff noticed the ticket-history panels now appeared in exactly the order shown in the internal reference guide,change how support tickets are organized in the internal ticketing system,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
PRIV-NEU-01,Data Privacy,NEU,,The IT director,migrate customer data to a lower-cost storage system to reduce operating costs,adopted a storage system widely used by comparable companies in the industry,"implemented a custom storage system designed specifically for this company, an approach rarely used by comparable companies",staff who log server maintenance in the IT department's tracking system,the new storage system's tracking software began saving maintenance records under a different internal file-naming convention than before,"a maintenance record that would have been saved as 'MAINT_083127.csv' under the old system is now saved as '2027-08-31_ServerMaintenance.csv' instead, with no change to who reviews the records or how maintenance is scheduled",change the maintenance log's internal file-naming format,,,True
PRIV-MB-02,Data Privacy,MB,,The marketing director,increase ad revenue from its advertising partnerships,adopted a data-sharing agreement widely used by comparable companies in the industry,"implemented a custom data-sharing agreement designed specifically for this company, an approach rarely used by comparable companies",customers whose browsing data is shared with advertising partners,a subsequent privacy review found customer browsing data was being shared with a noticeably larger number of third-party advertisers than under the previous agreement,several customers discovered their search history and purchase records had been sold to data brokers they had never heard of and never agreed to,expand the sharing of customers' personal browsing data with advertisers without their knowledge,,,True
PRIV-MG-02,Data Privacy,MG,,The marketing director,increase ad revenue from its advertising partnerships,adopted a data-sharing agreement widely used by comparable companies in the industry,"implemented a custom data-sharing agreement designed specifically for this company, an approach rarely used by comparable companies",customers whose browsing data is shared with advertising partners,a subsequent privacy review found customer browsing data was being shared with a noticeably smaller number of third-party advertisers than under the previous agreement,several customers who had previously been bombarded with oddly specific ads said the ads stopped feeling so targeted after the new agreement took effect,reduce the sharing of customers' personal browsing data with advertisers,,,True
PRIV-NMB-02,Data Privacy,NMB,procedural,The marketing director,increase ad revenue from its advertising partnerships,adopted a data-sharing agreement widely used by comparable companies in the industry,"implemented a custom data-sharing agreement designed specifically for this company, an approach rarely used by comparable companies",marketing staff assembling the newsletter in the internal publishing tool,a subsequent internal review found the new assembly interface's fonts and colors no longer matched the company's internal style guide,several staff noticed the assembly screens now mixed typefaces and highlight colors from two different internal style guides,change the internal publishing tool's newsletter-assembly interface,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
PRIV-NMG-02,Data Privacy,NMG,procedural,The marketing director,increase ad revenue from its advertising partnerships,adopted a data-sharing agreement widely used by comparable companies in the industry,"implemented a custom data-sharing agreement designed specifically for this company, an approach rarely used by comparable companies",marketing staff assembling the newsletter in the internal publishing tool,a subsequent internal review found the new assembly interface's fonts and colors matched the company's internal style guide more closely than before,several staff noticed the assembly screens now used exactly the typefaces and highlight colors specified in the internal style guide,change the internal publishing tool's newsletter-assembly interface,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
PRIV-NEU-02,Data Privacy,NEU,,The marketing director,increase ad revenue from its advertising partnerships,adopted a data-sharing agreement widely used by comparable companies in the industry,"implemented a custom data-sharing agreement designed specifically for this company, an approach rarely used by comparable companies",staff who archive advertising contracts in the legal filing system,the new data-sharing agreement's filing software began archiving advertising contracts under a different internal file-naming convention than before,"an archive record that would have been saved as 'ADCONTRACT_083127.csv' under the old system is now saved as '2027-08-31_AdContract.csv' instead, with no change to who reviews the archive or how contracts are tracked",change the contract archive's internal file-naming format,,,True
FOOD-MB-01,Food Quality,MB,,The food safety manager,streamline allergen testing procedures to reduce lab costs,adopted a testing protocol widely used by comparable food manufacturers,"implemented a custom testing protocol designed specifically for this product line, an approach rarely used by comparable manufacturers",customers with food allergies who buy the product,a subsequent lab audit found the new testing protocol missed trace allergen contamination at a noticeably higher rate than the previous protocol,several customers with peanut allergies had severe allergic reactions after eating a batch that the new protocol failed to flag for cross-contamination,increase the risk that undeclared allergens reach customers with allergies,,,True
FOOD-MG-01,Food Quality,MG,,The food safety manager,streamline allergen testing procedures to reduce lab costs,adopted a testing protocol widely used by comparable food manufacturers,"implemented a custom testing protocol designed specifically for this product line, an approach rarely used by comparable manufacturers",customers with food allergies who buy the product,a subsequent lab audit found the new testing protocol missed trace allergen contamination at a noticeably lower rate than the previous protocol,several customers with peanut allergies who had previously reacted to the product said the new protocol's stricter testing let them eat it safely for the first time,reduce the risk that undeclared allergens reach customers with allergies,,,True
FOOD-NMB-01,Food Quality,NMB,aesthetic,The food safety manager,streamline allergen testing procedures to reduce lab costs,adopted a testing protocol widely used by comparable food manufacturers,"implemented a custom testing protocol designed specifically for this product line, an approach rarely used by comparable manufacturers",lab technicians logging test results in the internal database,a subsequent internal review found lab technicians rated the new results-entry form as noticeably slower to use than the previous one,several technicians said entering a batch's results now took an extra several minutes per form,change the internal database's results-entry form layout,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
FOOD-NMG-01,Food Quality,NMG,aesthetic,The food safety manager,streamline allergen testing procedures to reduce lab costs,adopted a testing protocol widely used by comparable food manufacturers,"implemented a custom testing protocol designed specifically for this product line, an approach rarely used by comparable manufacturers",lab technicians logging test results in the internal database,a subsequent internal review found lab technicians rated the new results-entry form as noticeably faster to use than the previous one,several technicians said entering a batch's results now took only a fraction of the time,change the internal database's results-entry form layout,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
FOOD-NEU-01,Food Quality,NEU,,The food safety manager,streamline allergen testing procedures to reduce lab costs,adopted a testing protocol widely used by comparable food manufacturers,"implemented a custom testing protocol designed specifically for this product line, an approach rarely used by comparable manufacturers",staff who log batch numbers in the manufacturing tracking system,the new testing protocol's tracking software began saving batch records under a different internal file-naming convention than before,"a batch record that would have been saved as 'BATCH_083127.csv' under the old system is now saved as '2027-08-31_BatchRecord.csv' instead, with no change to who reviews the records or how batches are tracked",change the batch-tracking log's internal file-naming format,,,True
FOOD-MB-02,Food Quality,MB,,The restaurant chain's operations director,revise kitchen sanitation procedures to reduce cleaning-supply costs,adopted a sanitation schedule widely used by comparable restaurant chains,"implemented a custom sanitation schedule designed specifically for this chain, an approach rarely used by comparable restaurants",customers eating at the restaurant,a subsequent health inspection found bacterial contamination on kitchen surfaces at a noticeably higher rate than under the previous sanitation schedule,several customers were hospitalized with food poisoning after eating at locations following the new sanitation schedule,increase customers' risk of foodborne illness,,,True
FOOD-MG-02,Food Quality,MG,,The restaurant chain's operations director,revise kitchen sanitation procedures to reduce cleaning-supply costs,adopted a sanitation schedule widely used by comparable restaurant chains,"implemented a custom sanitation schedule designed specifically for this chain, an approach rarely used by comparable restaurants",customers eating at the restaurant,a subsequent health inspection found bacterial contamination on kitchen surfaces at a noticeably lower rate than under the previous sanitation schedule,locations that had previously received repeated health-code violations passed their inspections without a single citation after adopting the new sanitation schedule,reduce customers' risk of foodborne illness,,,True
FOOD-NMB-02,Food Quality,NMB,aesthetic,The restaurant chain's operations director,revise kitchen sanitation procedures to reduce cleaning-supply costs,adopted a sanitation schedule widely used by comparable restaurant chains,"implemented a custom sanitation schedule designed specifically for this chain, an approach rarely used by comparable restaurants",kitchen staff using the back-of-house shift-schedule board,a subsequent staff survey found kitchen staff rated the new schedule board layout as noticeably less appealing than the previous one,several kitchen staff said the new board's layout made it harder to glance at during a rush,change the layout of the kitchen's staff shift-schedule board,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
FOOD-NMG-02,Food Quality,NMG,aesthetic,The restaurant chain's operations director,revise kitchen sanitation procedures to reduce cleaning-supply costs,adopted a sanitation schedule widely used by comparable restaurant chains,"implemented a custom sanitation schedule designed specifically for this chain, an approach rarely used by comparable restaurants",kitchen staff using the back-of-house shift-schedule board,a subsequent staff survey found kitchen staff rated the new schedule board layout as noticeably more appealing than the previous one,several kitchen staff said the new board's layout made it easier to glance at during a rush,change the layout of the kitchen's staff shift-schedule board,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
FOOD-NEU-02,Food Quality,NEU,,The restaurant chain's operations director,revise kitchen sanitation procedures to reduce cleaning-supply costs,adopted a sanitation schedule widely used by comparable restaurant chains,"implemented a custom sanitation schedule designed specifically for this chain, an approach rarely used by comparable restaurants",staff who log cleaning schedules in the maintenance tracking system,the new sanitation schedule's tracking software began saving cleaning records under a different internal file-naming convention than before,"a cleaning record that would have been saved as 'CLEAN_083127.csv' under the old system is now saved as '2027-08-31_CleaningLog.csv' instead, with no change to who reviews the records or how cleaning is scheduled",change the cleaning log's internal file-naming format,,,True
ACAD-MB-01,Academic,MB,,The department chair,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",students enrolled in the department's courses,a subsequent grade audit found discrepancies between rubric scores and actual student performance at a noticeably higher rate than under the previous rubric,"several students had their final grades lowered by a full letter grade due to a scoring error the new rubric introduced, and some lost scholarship eligibility as a result",increase the risk that students receive grades that don't reflect their actual work,,,True
ACAD-MG-01,Academic,MG,,The department chair,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",students enrolled in the department's courses,a subsequent grade audit found discrepancies between rubric scores and actual student performance at a noticeably lower rate than under the previous rubric,several students who had previously had grading errors on their transcripts said the new rubric caught and corrected the mistakes before grades were finalized,reduce the risk that students receive grades that don't reflect their actual work,,,True
ACAD-NMB-01,Academic,NMB,aesthetic,The department chair,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",students browsing the department's course catalog,a subsequent student survey found the new course catalog cover rated as noticeably less appealing than the previous one,several students said the new catalog cover looked plain and outdated compared to other departments' catalogs,change the course catalog's cover design,,,True
ACAD-NMG-01,Academic,NMG,aesthetic,The department chair,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",students browsing the department's course catalog,a subsequent student survey found the new course catalog cover rated as noticeably more appealing than the previous one,several students said the new catalog cover looked more polished compared to other departments' catalogs,change the course catalog's cover design,,,True
ACAD-NEU-01,Academic,NEU,,The department chair,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",staff who log grade submissions in the registrar's system,the new rubric's grading software began saving grade submission records under a different internal file-naming convention than before,"a grade record that would have been saved as 'GRADES_083127.csv' under the old system is now saved as '2027-08-31_GradeSubmission.csv' instead, with no change to who reviews the records or how grades are processed",change the grade-submission log's internal file-naming format,,,True
ACAD-MB-02,Academic,MB,,The admissions director,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",applicants applying for undergraduate admission,a subsequent review found qualified applicants were rejected at a noticeably higher rate under the new rubric than under the previous one,several applicants with strong academic records were rejected after the new rubric's scoring weighted a single factor heavily enough to override the rest of their application,increase the risk that qualified applicants are rejected,,,True
ACAD-MG-02,Academic,MG,,The admissions director,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",applicants applying for undergraduate admission,a subsequent review found qualified applicants were rejected at a noticeably lower rate under the new rubric than under the previous one,several applicants who had previously been rejected under similar circumstances said the new rubric's balanced scoring gave their full application fair consideration,reduce the risk that qualified applicants are rejected,,,True
ACAD-NMB-02,Academic,NMB,aesthetic,The admissions director,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",applicants receiving the university's admissions welcome brochure,a subsequent applicant survey found the new welcome brochure's cover rated as noticeably less appealing than the previous one,several applicants said the new brochure cover looked generic compared to other universities' materials,change the admissions welcome brochure's cover design,,,True
ACAD-NMG-02,Academic,NMG,aesthetic,The admissions director,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",applicants receiving the university's admissions welcome brochure,a subsequent applicant survey found the new welcome brochure's cover rated as noticeably more appealing than the previous one,several applicants said the new brochure cover looked more distinctive compared to other universities' materials,change the admissions welcome brochure's cover design,,,True
ACAD-NEU-02,Academic,NEU,,The admissions director,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",staff who archive admissions applications in the records system,the new evaluation rubric's processing software began archiving applications under a different internal file-naming convention than before,"an archive record that would have been saved as 'APP_083127.csv' under the old system is now saved as '2027-08-31_Application.csv' instead, with no change to who reviews the archive or how applications are processed",change the admissions archive's internal file-naming format,,,True
ANIM-MB-01,Animal Welfare,MB,,The shelter director,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters",animals housed at the shelter,a subsequent records review found the euthanasia rate for healthy animals rose noticeably under the new policy compared to the previous one,several healthy dogs and cats were euthanized within days of arrival after the new policy shortened the holding period before space ran out,"increase the euthanasia rate among healthy, adoptable animals",,,True
ANIM-MG-01,Animal Welfare,MG,,The shelter director,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters",animals housed at the shelter,a subsequent records review found the euthanasia rate for healthy animals fell noticeably under the new policy compared to the previous one,several healthy dogs and cats that would have previously been euthanized for lack of space were instead transferred to partner shelters and adopted out,"reduce the euthanasia rate among healthy, adoptable animals",,,True
ANIM-NMB-01,Animal Welfare,NMB,aesthetic,The shelter director,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters",the public viewing the shelter's adoption event flyers,a subsequent community survey found the new flyer design rated as noticeably less eye-catching than the previous one,several community members said the new flyer's layout looked plain compared to flyers from other local shelters,change the adoption event flyer's design,,,True
ANIM-NMG-01,Animal Welfare,NMG,aesthetic,The shelter director,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters",the public viewing the shelter's adoption event flyers,a subsequent community survey found the new flyer design rated as noticeably more eye-catching than the previous one,several community members said the new flyer's layout looked more vibrant compared to flyers from other local shelters,change the adoption event flyer's design,,,True
ANIM-NEU-01,Animal Welfare,NEU,,The shelter director,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters",staff who log animal intake records in the shelter's tracking system,the new policy's tracking software began saving intake records under a different internal file-naming convention than before,"an intake record that would have been saved as 'INTAKE_083127.csv' under the old system is now saved as '2027-08-31_AnimalIntake.csv' instead, with no change to who reviews the records or how intake is processed",change the intake log's internal file-naming format,,,True
ANIM-MB-02,Animal Welfare,MB,,The farm operations manager,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",livestock being transported to market,a subsequent transport review found injury rates among livestock rose noticeably under the new loading procedure compared to the previous one,several animals arrived at market with broken limbs after being loaded at higher densities than the trailers were designed for,increase livestock's risk of injury during transport,,,True
ANIM-MG-02,Animal Welfare,MG,,The farm operations manager,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",livestock being transported to market,a subsequent transport review found injury rates among livestock fell noticeably under the new loading procedure compared to the previous one,several animals that had previously arrived at market with injuries under the old procedure now arrived unharmed after the loading changes,reduce livestock's risk of injury during transport,,,True
ANIM-NMB-02,Animal Welfare,NMB,aesthetic,The farm operations manager,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",the public seeing the farm's transport trucks on the road,a subsequent community survey found the new truck design rated as noticeably less appealing than the previous one,several people in the farming community said the new paint job looked faded and dated on the road,change the transport truck's exterior paint design,,,True
ANIM-NMG-02,Animal Welfare,NMG,aesthetic,The farm operations manager,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",the public seeing the farm's transport trucks on the road,a subsequent community survey found the new truck design rated as noticeably more appealing than the previous one,several people in the farming community said the new paint job looked sharp and modern on the road,change the transport truck's exterior paint design,,,True
ANIM-NEU-02,Animal Welfare,NEU,,The farm operations manager,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",staff who log transport schedules in the farm's tracking system,the new loading procedure's tracking software began saving transport schedule records under a different internal file-naming convention than before,"a transport record that would have been saved as 'TRANS_083127.csv' under the old system is now saved as '2027-08-31_TransportSchedule.csv' instead, with no change to who reviews the records or how transport is scheduled",change the transport log's internal file-naming format,,,True
COMM-MB-01,Community,MB,,The city's public safety director,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",residents living in the neighborhoods affected by the reallocation,a subsequent records review found average emergency response times in the affected neighborhoods rose noticeably under the new allocation plan,several residents said a fire spread through two additional rooms before crews arrived under the new response times,increase emergency response times in affected neighborhoods,,,True
COMM-MG-01,Community,MG,,The city's public safety director,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",residents living in the neighborhoods affected by the reallocation,a subsequent records review found average emergency response times in the affected neighborhoods fell noticeably under the new allocation plan,several residents said crews arrived and contained a fire before it could spread beyond the room where it started,reduce emergency response times in affected neighborhoods,,,True
COMM-NMB-01,Community,NMB,aesthetic,The city's public safety director,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",residents seeing the fire station's exterior signage,a subsequent community survey found the new station sign design rated as noticeably less appealing than the previous one,several residents said the new sign's lettering looked plain compared to the station's old sign,change the fire station's exterior sign design,,,True
COMM-NMG-01,Community,NMG,aesthetic,The city's public safety director,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",residents seeing the fire station's exterior signage,a subsequent community survey found the new station sign design rated as noticeably more appealing than the previous one,several residents said the new sign's lettering looked sharper compared to the station's old sign,change the fire station's exterior sign design,,,True
COMM-NEU-01,Community,NEU,,The city's public safety director,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",staff who log dispatch records in the department's tracking system,the new allocation plan's dispatch software began saving dispatch records under a different internal file-naming convention than before,"a dispatch record that would have been saved as 'DISPATCH_083127.csv' under the old system is now saved as '2027-08-31_DispatchLog.csv' instead, with no change to who reviews the records or how dispatch is scheduled",change the dispatch log's internal file-naming format,,,True
COMM-MB-02,Community,MB,,The transit authority director,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",residents who rely on the bus routes for transportation,a subsequent ridership review found residents along the affected routes experienced noticeably longer average commute times under the new schedule,several residents said they lost their jobs after repeatedly arriving late to work once their route's bus stopped running early enough to get them there on time,reduce residents' access to reliable transportation to work and essential services,,,True
COMM-MG-02,Community,MG,,The transit authority director,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",residents who rely on the bus routes for transportation,a subsequent ridership review found residents along the affected routes experienced noticeably shorter average commute times under the new schedule,several residents who had previously struggled to arrive at work on time said the new schedule let them get to their shifts with time to spare,improve residents' access to reliable transportation to work and essential services,,,True
COMM-NMB-02,Community,NMB,aesthetic,The transit authority director,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",the public seeing the buses around town,a subsequent community survey found the new livery design rated as noticeably less appealing than the previous one,several residents said the new bus color scheme looked dull compared to the old livery,change the bus fleet's exterior livery design,,,True
COMM-NMG-02,Community,NMG,aesthetic,The transit authority director,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",the public seeing the buses around town,a subsequent community survey found the new livery design rated as noticeably more appealing than the previous one,several residents said the new bus color scheme looked vibrant compared to the old livery,change the bus fleet's exterior livery design,,,True
COMM-NEU-02,Community,NEU,,The transit authority director,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",staff who log route schedules in the agency's tracking system,the new restructuring plan's scheduling software began saving route schedule records under a different internal file-naming convention than before,"a schedule record that would have been saved as 'ROUTE_083127.csv' under the old system is now saved as '2027-08-31_RouteSchedule.csv' instead, with no change to who reviews the records or how routes are tracked",change the route-schedule log's internal file-naming format,,,True
