variant_id,family_id,domain,nonmoral_subdomain,valence,typicality,evocativeness,moral_relevance,flagged,flag_detail,goal,common_action,uncommon_action,outcome_verb
ACAD-NMB-02-B,ACAD-NMB-02,Academic,aesthetic,NMB,common,high,2,False,,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",change the admissions welcome brochure's cover design
ACAD-NMB-02-C,ACAD-NMB-02,Academic,aesthetic,NMB,uncommon,low,2,False,,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",change the admissions welcome brochure's cover design
ACAD-NMB-02-D,ACAD-NMB-02,Academic,aesthetic,NMB,uncommon,high,2,False,,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",change the admissions welcome brochure's cover design
ACAD-NMG-01-A,ACAD-NMG-01,Academic,aesthetic,NMG,common,low,1,False,,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",change the course catalog's cover design
ACAD-NMG-01-B,ACAD-NMG-01,Academic,aesthetic,NMG,common,high,1,False,,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",change the course catalog's cover design
ACAD-NMG-01-C,ACAD-NMG-01,Academic,aesthetic,NMG,uncommon,low,2,False,,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",change the course catalog's cover design
ACAD-NMG-01-D,ACAD-NMG-01,Academic,aesthetic,NMG,uncommon,high,1,False,,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",change the course catalog's cover design
ACAD-NMG-02-A,ACAD-NMG-02,Academic,aesthetic,NMG,common,low,1,False,,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",change the admissions welcome brochure's cover design
ACAD-NMG-02-B,ACAD-NMG-02,Academic,aesthetic,NMG,common,high,1,False,,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",change the admissions welcome brochure's cover design
ACAD-NMG-02-C,ACAD-NMG-02,Academic,aesthetic,NMG,uncommon,low,2,False,,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",change the admissions welcome brochure's cover design
ACAD-NMG-02-D,ACAD-NMG-02,Academic,aesthetic,NMG,uncommon,high,2,False,,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",change the admissions welcome brochure's cover design
ANIM-MB-01-A,ANIM-MB-01,Animal Welfare,,MB,common,low,9,False,,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters","increase the euthanasia rate among healthy, adoptable animals"
ANIM-MB-01-B,ANIM-MB-01,Animal Welfare,,MB,common,high,9,False,,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters","increase the euthanasia rate among healthy, adoptable animals"
ANIM-MB-01-C,ANIM-MB-01,Animal Welfare,,MB,uncommon,low,9,False,,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters","increase the euthanasia rate among healthy, adoptable animals"
ANIM-MB-01-D,ANIM-MB-01,Animal Welfare,,MB,uncommon,high,9,False,,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters","increase the euthanasia rate among healthy, adoptable animals"
ANIM-MB-02-A,ANIM-MB-02,Animal Welfare,,MB,common,low,8,False,,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",increase livestock's risk of injury during transport
ANIM-MB-02-B,ANIM-MB-02,Animal Welfare,,MB,common,high,9,False,,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",increase livestock's risk of injury during transport
ANIM-MB-02-C,ANIM-MB-02,Animal Welfare,,MB,uncommon,low,9,False,,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",increase livestock's risk of injury during transport
ANIM-MB-02-D,ANIM-MB-02,Animal Welfare,,MB,uncommon,high,9,False,,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",increase livestock's risk of injury during transport
ANIM-MG-01-A,ANIM-MG-01,Animal Welfare,,MG,common,low,9,False,,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters","reduce the euthanasia rate among healthy, adoptable animals"
ANIM-MG-01-B,ANIM-MG-01,Animal Welfare,,MG,common,high,9,False,,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters","reduce the euthanasia rate among healthy, adoptable animals"
ANIM-MG-01-C,ANIM-MG-01,Animal Welfare,,MG,uncommon,low,8,False,,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters","reduce the euthanasia rate among healthy, adoptable animals"
ANIM-MG-01-D,ANIM-MG-01,Animal Welfare,,MG,uncommon,high,9,False,,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters","reduce the euthanasia rate among healthy, adoptable animals"
ANIM-MG-02-A,ANIM-MG-02,Animal Welfare,,MG,common,low,6,False,,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",reduce livestock's risk of injury during transport
ANIM-MG-02-B,ANIM-MG-02,Animal Welfare,,MG,common,high,8,False,,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",reduce livestock's risk of injury during transport
ANIM-MG-02-D,ANIM-MG-02,Animal Welfare,,MG,uncommon,high,7,False,,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",reduce livestock's risk of injury during transport
ANIM-NEU-01-A,ANIM-NEU-01,Animal Welfare,,NEU,common,low,2,False,,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters",change the intake log's internal file-naming format
ANIM-NEU-01-B,ANIM-NEU-01,Animal Welfare,,NEU,common,high,2,False,,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters",change the intake log's internal file-naming format
ANIM-NEU-01-C,ANIM-NEU-01,Animal Welfare,,NEU,uncommon,low,2,False,,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters",change the intake log's internal file-naming format
ANIM-NEU-01-D,ANIM-NEU-01,Animal Welfare,,NEU,uncommon,high,2,False,,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters",change the intake log's internal file-naming format
ANIM-NEU-02-A,ANIM-NEU-02,Animal Welfare,,NEU,common,low,2,False,,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",change the transport log's internal file-naming format
ANIM-NEU-02-B,ANIM-NEU-02,Animal Welfare,,NEU,common,high,2,False,,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",change the transport log's internal file-naming format
ANIM-NEU-02-C,ANIM-NEU-02,Animal Welfare,,NEU,uncommon,low,2,False,,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",change the transport log's internal file-naming format
ANIM-NEU-02-D,ANIM-NEU-02,Animal Welfare,,NEU,uncommon,high,2,False,,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",change the transport log's internal file-naming format
ANIM-NMB-01-A,ANIM-NMB-01,Animal Welfare,aesthetic,NMB,common,low,2,False,,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters",change the adoption event flyer's design
ANIM-NMB-01-B,ANIM-NMB-01,Animal Welfare,aesthetic,NMB,common,high,2,False,,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters",change the adoption event flyer's design
ANIM-NMB-01-C,ANIM-NMB-01,Animal Welfare,aesthetic,NMB,uncommon,low,2,False,,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters",change the adoption event flyer's design
ANIM-NMB-01-D,ANIM-NMB-01,Animal Welfare,aesthetic,NMB,uncommon,high,2,False,,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters",change the adoption event flyer's design
ANIM-NMB-02-A,ANIM-NMB-02,Animal Welfare,aesthetic,NMB,common,low,2,False,,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",change the transport truck's exterior paint design
ANIM-NMB-02-B,ANIM-NMB-02,Animal Welfare,aesthetic,NMB,common,high,0,False,,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",change the transport truck's exterior paint design
ANIM-NMB-02-C,ANIM-NMB-02,Animal Welfare,aesthetic,NMB,uncommon,low,2,False,,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",change the transport truck's exterior paint design
ANIM-NMB-02-D,ANIM-NMB-02,Animal Welfare,aesthetic,NMB,uncommon,high,1,False,,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",change the transport truck's exterior paint design
ANIM-NMG-01-A,ANIM-NMG-01,Animal Welfare,aesthetic,NMG,common,low,1,False,,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters",change the adoption event flyer's design
ANIM-NMG-01-B,ANIM-NMG-01,Animal Welfare,aesthetic,NMG,common,high,2,False,,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters",change the adoption event flyer's design
ANIM-NMG-01-C,ANIM-NMG-01,Animal Welfare,aesthetic,NMG,uncommon,low,1,False,,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters",change the adoption event flyer's design
ANIM-NMG-01-D,ANIM-NMG-01,Animal Welfare,aesthetic,NMG,uncommon,high,2,False,,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters",change the adoption event flyer's design
ANIM-NMG-02-A,ANIM-NMG-02,Animal Welfare,aesthetic,NMG,common,low,2,False,,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",change the transport truck's exterior paint design
ANIM-NMG-02-B,ANIM-NMG-02,Animal Welfare,aesthetic,NMG,common,high,,False,,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",change the transport truck's exterior paint design
ANIM-NMG-02-C,ANIM-NMG-02,Animal Welfare,aesthetic,NMG,uncommon,low,1,False,,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",change the transport truck's exterior paint design
ANIM-NMG-02-D,ANIM-NMG-02,Animal Welfare,aesthetic,NMG,uncommon,high,1,False,,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",change the transport truck's exterior paint design
COMM-MB-01-A,COMM-MB-01,Community,,MB,common,low,8,False,,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",increase emergency response times in affected neighborhoods
COMM-MB-01-B,COMM-MB-01,Community,,MB,common,high,8,False,,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",increase emergency response times in affected neighborhoods
COMM-MB-01-C,COMM-MB-01,Community,,MB,uncommon,low,8,False,,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",increase emergency response times in affected neighborhoods
COMM-MB-01-D,COMM-MB-01,Community,,MB,uncommon,high,9,False,,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",increase emergency response times in affected neighborhoods
COMM-MB-02-A,COMM-MB-02,Community,,MB,common,low,8,False,,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",reduce residents' access to reliable transportation to work and essential services
COMM-MB-02-B,COMM-MB-02,Community,,MB,common,high,8,False,,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",reduce residents' access to reliable transportation to work and essential services
COMM-MB-02-C,COMM-MB-02,Community,,MB,uncommon,low,9,False,,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",reduce residents' access to reliable transportation to work and essential services
COMM-MB-02-D,COMM-MB-02,Community,,MB,uncommon,high,9,False,,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",reduce residents' access to reliable transportation to work and essential services
COMM-MG-01-A,COMM-MG-01,Community,,MG,common,low,8,False,,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",reduce emergency response times in affected neighborhoods
COMM-MG-01-B,COMM-MG-01,Community,,MG,common,high,8,False,,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",reduce emergency response times in affected neighborhoods
COMM-MG-01-C,COMM-MG-01,Community,,MG,uncommon,low,9,False,,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",reduce emergency response times in affected neighborhoods
COMM-MG-01-D,COMM-MG-01,Community,,MG,uncommon,high,8,False,,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",reduce emergency response times in affected neighborhoods
COMM-MG-02-A,COMM-MG-02,Community,,MG,common,low,6,False,,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",improve residents' access to reliable transportation to work and essential services
COMM-MG-02-B,COMM-MG-02,Community,,MG,common,high,7,False,,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",improve residents' access to reliable transportation to work and essential services
COMM-MG-02-C,COMM-MG-02,Community,,MG,uncommon,low,8,False,,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",improve residents' access to reliable transportation to work and essential services
COMM-MG-02-D,COMM-MG-02,Community,,MG,uncommon,high,8,False,,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",improve residents' access to reliable transportation to work and essential services
COMM-NEU-01-A,COMM-NEU-01,Community,,NEU,common,low,2,False,,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",change the dispatch log's internal file-naming format
COMM-NEU-01-B,COMM-NEU-01,Community,,NEU,common,high,2,False,,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",change the dispatch log's internal file-naming format
COMM-NEU-01-C,COMM-NEU-01,Community,,NEU,uncommon,low,2,False,,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",change the dispatch log's internal file-naming format
COMM-NEU-01-D,COMM-NEU-01,Community,,NEU,uncommon,high,1,False,,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",change the dispatch log's internal file-naming format
COMM-NEU-02-A,COMM-NEU-02,Community,,NEU,common,low,2,False,,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",change the route-schedule log's internal file-naming format
COMM-NEU-02-B,COMM-NEU-02,Community,,NEU,common,high,1,False,,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",change the route-schedule log's internal file-naming format
COMM-NEU-02-C,COMM-NEU-02,Community,,NEU,uncommon,low,2,False,,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",change the route-schedule log's internal file-naming format
COMM-NEU-02-D,COMM-NEU-02,Community,,NEU,uncommon,high,2,False,,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",change the route-schedule log's internal file-naming format
COMM-NMB-01-A,COMM-NMB-01,Community,aesthetic,NMB,common,low,2,False,,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",change the fire station's exterior sign design
COMM-NMB-01-B,COMM-NMB-01,Community,aesthetic,NMB,common,high,1,False,,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",change the fire station's exterior sign design
COMM-NMB-01-C,COMM-NMB-01,Community,aesthetic,NMB,uncommon,low,2,False,,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",change the fire station's exterior sign design
COMM-NMB-01-D,COMM-NMB-01,Community,aesthetic,NMB,uncommon,high,1,False,,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",change the fire station's exterior sign design
COMM-NMB-02-A,COMM-NMB-02,Community,aesthetic,NMB,common,low,2,False,,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",change the bus fleet's exterior livery design
COMM-NMB-02-B,COMM-NMB-02,Community,aesthetic,NMB,common,high,1,False,,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",change the bus fleet's exterior livery design
COMM-NMB-02-C,COMM-NMB-02,Community,aesthetic,NMB,uncommon,low,2,False,,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",change the bus fleet's exterior livery design
COMM-NMB-02-D,COMM-NMB-02,Community,aesthetic,NMB,uncommon,high,2,False,,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",change the bus fleet's exterior livery design
COMM-NMG-01-A,COMM-NMG-01,Community,aesthetic,NMG,common,low,1,False,,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",change the fire station's exterior sign design
COMM-NMG-01-B,COMM-NMG-01,Community,aesthetic,NMG,common,high,1,False,,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",change the fire station's exterior sign design
COMM-NMG-01-C,COMM-NMG-01,Community,aesthetic,NMG,uncommon,low,1,False,,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",change the fire station's exterior sign design
COMM-NMG-01-D,COMM-NMG-01,Community,aesthetic,NMG,uncommon,high,2,False,,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities",change the fire station's exterior sign design
COMM-NMG-02-A,COMM-NMG-02,Community,aesthetic,NMG,common,low,1,False,,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",change the bus fleet's exterior livery design
COMM-NMG-02-B,COMM-NMG-02,Community,aesthetic,NMG,common,high,1,False,,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",change the bus fleet's exterior livery design
COMM-NMG-02-C,COMM-NMG-02,Community,aesthetic,NMG,uncommon,low,1,False,,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",change the bus fleet's exterior livery design
COMM-NMG-02-D,COMM-NMG-02,Community,aesthetic,NMG,uncommon,high,1,False,,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies",change the bus fleet's exterior livery design
PRIV-MB-01-A,PRIV-MB-01,Data Privacy,,MB,common,low,9,False,,migrate customer data to a lower-cost storage system to reduce operating costs,adopted a storage system widely used by comparable companies in the industry,"implemented a custom storage system designed specifically for this company, an approach rarely used by comparable companies",increase customers' risk of having their personal data exposed in a breach
PRIV-MB-01-B,PRIV-MB-01,Data Privacy,,MB,common,high,9,False,,migrate customer data to a lower-cost storage system to reduce operating costs,adopted a storage system widely used by comparable companies in the industry,"implemented a custom storage system designed specifically for this company, an approach rarely used by comparable companies",increase customers' risk of having their personal data exposed in a breach
PRIV-MB-01-C,PRIV-MB-01,Data Privacy,,MB,uncommon,low,9,False,,migrate customer data to a lower-cost storage system to reduce operating costs,adopted a storage system widely used by comparable companies in the industry,"implemented a custom storage system designed specifically for this company, an approach rarely used by comparable companies",increase customers' risk of having their personal data exposed in a breach
PRIV-MB-01-D,PRIV-MB-01,Data Privacy,,MB,uncommon,high,9,False,,migrate customer data to a lower-cost storage system to reduce operating costs,adopted a storage system widely used by comparable companies in the industry,"implemented a custom storage system designed specifically for this company, an approach rarely used by comparable companies",increase customers' risk of having their personal data exposed in a breach
PRIV-MB-02-A,PRIV-MB-02,Data Privacy,,MB,common,low,9,False,,increase ad revenue from its advertising partnerships,adopted a data-sharing agreement widely used by comparable companies in the industry,"implemented a custom data-sharing agreement designed specifically for this company, an approach rarely used by comparable companies",expand the sharing of customers' personal browsing data with advertisers without their knowledge
PRIV-MB-02-B,PRIV-MB-02,Data Privacy,,MB,common,high,9,False,,increase ad revenue from its advertising partnerships,adopted a data-sharing agreement widely used by comparable companies in the industry,"implemented a custom data-sharing agreement designed specifically for this company, an approach rarely used by comparable companies",expand the sharing of customers' personal browsing data with advertisers without their knowledge
PRIV-MB-02-C,PRIV-MB-02,Data Privacy,,MB,uncommon,low,9,False,,increase ad revenue from its advertising partnerships,adopted a data-sharing agreement widely used by comparable companies in the industry,"implemented a custom data-sharing agreement designed specifically for this company, an approach rarely used by comparable companies",expand the sharing of customers' personal browsing data with advertisers without their knowledge
